2026/03/26 14:49:08:981	Station:AOI1,Listen IP:127.0.0.1,Port:6002
2026/03/26 14:49:09:090	Station:AOI2,Listen IP:127.0.0.1,Port:6003
2026/03/26 14:49:09:198	Station:AOI3,Listen IP:127.0.0.1,Port:6004
2026/03/26 14:49:09:307	Station:DTC,Listen IP:127.0.0.1,Port:6005
2026/03/26 14:49:20:244	Station:LOAD,RemoteConnect IP:127.0.0.1,Port:6001
2026/03/26 14:49:30:208	Station:DTC,RemoteConnect IP:127.0.0.1,Port:6005
2026/03/26 14:49:39:992	Station:AOI1,RemoteConnect IP:127.0.0.1,Port:6002
2026/03/26 14:49:47:911	Station:AOI2,RemoteConnect IP:127.0.0.1,Port:6003
2026/03/26 14:49:50:487	Station:AOI3,RemoteConnect IP:127.0.0.1,Port:6004
2026/03/26 14:50:08:044	Station:LOAD,request Command:SN_CHECK,P1:LOAD,P2:AAA1234,P3:1;2;3;4,P4:A1;A2;A3;A4,P5:,P6:,P7:,P8:,P9:
2026/03/26 14:53:28:190	Station:AOI1,DisConnect IP:127.0.0.1,Port:6002
2026/03/26 14:53:37:054	Station:AOI1,RemoteConnect IP:127.0.0.1,Port:6002
2026/03/26 14:54:01:825	Station:AOI1,DisConnect IP:127.0.0.1,Port:6002
2026/03/26 14:54:06:381	Station:AOI1,RemoteConnect IP:127.0.0.1,Port:6002
2026/03/26 14:55:57:742	Station:AOI1,RemoteConnect IP:127.0.0.1,Port:6002
2026/03/26 14:56:00:829	Station:AOI1,DisConnect IP:127.0.0.1,Port:6002
2026/03/26 14:56:02:495	Station:AOI1,RemoteConnect IP:127.0.0.1,Port:6002
2026/03/26 14:56:12:608	Station:AOI1,RemoteConnect IP:127.0.0.1,Port:6002
2026/03/26 14:56:12:608	Station:AOI1,request Command:AOI_RESULT,P1:AOI1,P2:AAA1234,P3:1;2;3;4,P4:A1;A2;A3;A4,P5:true;true;true;true,P6:D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\Empty.zip;D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\Empty.zip;D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\Empty.zip;D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\Empty.zip,P7:,P8:Grabber_OK#Aligner_OK#Processor_OK#Reporter_OK,P9:
